season_year,player_name,nationality,team_name,apps,assists,penalties,goals
2004,Ruud van Nistelrooy,Países Bajos,Manchester United,7,1,1,8
2004,Adriano,Brasil,Inter de Milán,7,3,1,7
2004,Roy Makaay,Países Bajos,Bayern Múnich,8,1,2,7
2004,Sylvain Wiltord,Francia / Guadalupe,Olympique de Lyon,8,4,0,6
2004,Andriy Shevchenko,Ucrania,AC Milan,10,2,0,6
2004,Hernán Crespo,Argentina / Italia,AC Milan,10,0,0,6
2004,Ivan Klasnic,Croacia,SV Werder Bremen,7,2,0,5
2004,Thierry Henry,Francia / Guadalupe,Arsenal FC,8,1,1,5
2004,Didier Drogba,Costa de Marfil / Francia,Chelsea FC,9,1,0,5
2004,Tuncay Şanlı,Turquía,Fenerbahce,6,1,0,5
2004,Luis García,España,Liverpool FC,12,1,0,5
2004,Michael Essien,Ghana / Francia,Olympique de Lyon,10,0,0,5
2004,Obafemi Martins,Nigeria / Italia,Inter de Milán,8,0,0,5
2004,Luís Figo,Portugal,Real Madrid CF,8,5,3,4
2004,Claudio Pizarro,Perú / Italia,Bayern Múnich,7,3,0,4
2004,Frank Lampard,Inglaterra,Chelsea FC,12,3,0,4
2004,Ronaldinho,Brasil / España,FC Barcelona,7,2,2,4
2004,Samuel Eto'o,Camerún / España,FC Barcelona,7,2,0,4
2004,Sergey Semak,Rusia,CSKA Moscú,6,1,0,4
2004,Nilmar,Brasil,Olympique de Lyon,9,1,0,4
2004,John Terry,Inglaterra,Chelsea FC,11,0,0,4
2004,Raúl,España,Real Madrid CF,8,0,0,4
2004,Javier Saviola,Argentina / España,AS Mónaco,7,0,0,4
2004,Baruch Dego,Israel / Etiopía,Maccabi Tel Aviv,4,0,2,4
2004,Phillip Cocu,Países Bajos,PSV Eindhoven,12,3,0,3
2005,Andriy Shevchenko,Ucrania,AC Milan,12,3,1,9
2005,Ronaldinho,Brasil / España,FC Barcelona,12,5,2,7
2005,Samuel Eto'o,Camerún / España,FC Barcelona,11,3,0,6
2005,David Trezeguet,Francia / Argentina,Juventus de Turín,9,0,0,6
2005,Johan Micoud,Francia,SV Werder Bremen,8,5,1,5
2005,Thierry Henry,Francia / Guadalupe,Arsenal FC,11,2,0,5
2005,Kaká,Brasil / Italia,AC Milan,12,1,0,5
2005,Adriano,Brasil,Inter de Milán,9,1,0,5
2005,Juninho Pernambucano,Brasil / Francia,Olympique de Lyon,8,4,0,4
2005,John Carew,Noruega,Olympique de Lyon,10,3,0,4
2005,Filippo Inzaghi,Italia,AC Milan,6,0,0,4
2005,Vincenzo Iaquinta,Italia,Udinese Calcio,5,0,0,4
2005,Julio Cruz,Argentina / España,Inter de Milán,6,0,1,4
2005,Peter Løvenkrands,Dinamarca,Rangers FC,8,0,0,4
2005,Lincoln,Brasil,FC Schalke 04,6,3,0,3
2005,Sebastian Deisler,Alemania,Bayern Múnich,6,2,0,3
2005,Levan Kobiashvili,Georgia,FC Schalke 04,6,2,2,3
2005,Alessandro Del Piero,Italia,Juventus de Turín,7,2,0,3
2005,Antonio Di Natale,Italia,Udinese Calcio,6,2,0,3
2005,Alex,Brasil,Fenerbahce,4,2,2,3
2005,Miroslav Klose,Alemania,SV Werder Bremen,7,1,0,3
2005,Zlatan Ibrahimović,Suecia / Bosnia y Herzegovina,Juventus de Turín,9,1,0,3
2005,Giannis Anastasiou,Grecia / Bélgica,Ajax de Ámsterdam,3,0,0,3
2005,Nigel de Jong,Países Bajos / Surinam,Ajax de Ámsterdam,5,0,0,3
2005,Pavel Nedved,República Checa / Italia,Juventus de Turín,8,4,0,2
2006,Kaká,Brasil / Italia,AC Milan,13,3,3,10
2006,Ruud van Nistelrooy,Países Bajos,Real Madrid CF,7,3,2,6
2006,Didier Drogba,Costa de Marfil / Francia,Chelsea FC,12,3,0,6
2006,Peter Crouch,Inglaterra / Irlanda,Liverpool FC,12,0,0,6
2006,Fernando Morientes,España,Valencia CF,8,0,0,6
2006,Raúl,España,Real Madrid CF,7,1,0,5
2006,Francesco Totti,Italia,AS Roma,9,3,1,4
2006,David Villa,España,Valencia CF,9,3,0,4
2006,Louis Saha,Francia / Guadalupe,Manchester United,8,2,1,4
2006,Claudio Pizarro,Perú / Italia,Bayern Múnich,10,1,0,4
2006,Nicolae Dică,Rumania,Steaua Bucarest,6,1,0,4
2006,Wayne Rooney,Inglaterra,Manchester United,12,0,0,4
2006,Filippo Inzaghi,Italia,AC Milan,10,0,0,4
